date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2015-02-11,MJ0351YNG9VAJA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,135.0,108.0,141.0,559.0,100.0,18.0,100.0,0.0,100.0,0.0,122.0,37.0,98.0,20187.0,100.0,0.0,,,100.0,18.0,,,,,,,,,,,,,,,,,,,,,100.0,129.0,100.0,129.0,222.0,27.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-16,Z3016SZJ,ST4000DM000,4000787030016,0,116.0,113638200.0,,,93.0,0.0,100.0,7.0,100.0,0.0,84.0,317052050.0,,,92.0,7479.0,100.0,0.0,,,100.0,7.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,5.0,73.0,27.0,100.0,0.0,100.0,4.0,93.0,14814.0,27.0,27.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,7259.0,100.0,15760913306.0,100.0,75976634267.0,,,,,,,,,,
2015-12-01,W300CDRJ,ST4000DM000,4000787030016,0,119.0,210314536.0,,,91.0,0.0,100.0,10.0,100.0,0.0,87.0,553347591.0,,,78.0,19522.0,100.0,0.0,,,100.0,10.0,,,,,,,100.0,0.0,100.0,0.0,94.0,6.0,100.0,0.0,98.0,2.0,81.0,19.0,100.0,0.0,100.0,2.0,96.0,9086.0,19.0,19.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,206304459115539.0,100.0,25099486480.0,100.0,128654015705.0,,,,,,,,,,
2015-02-09,W300AWBZ,ST4000DM000,4000787030016,0,117.0,167638104.0,,,95.0,0.0,100.0,5.0,100.0,0.0,84.0,246282878.0,,,84.0,14367.0,100.0,0.0,,,100.0,5.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.0,1.0,75.0,25.0,100.0,0.0,100.0,2.0,88.0,24240.0,25.0,25.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,145195664422818.0,100.0,25047241336.0,100.0,121500231964.0,,,,,,,,,,
2015-03-03,MJ1311YNG6XKGA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,135.0,108.0,140.0,559.0,100.0,12.0,100.0,0.0,100.0,0.0,135.0,31.0,97.0,25407.0,100.0,0.0,,,100.0,12.0,,,,,,,,,,,,,,,,,,,,,100.0,15.0,100.0,15.0,193.0,31.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-02,Z3029B22,ST4000DM000,4000787030016,0,116.0,107806168.0,,,93.0,0.0,100.0,9.0,100.0,0.0,86.0,419391548.0,,,92.0,7617.0,100.0,0.0,,,100.0,8.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,0.0,97.0,6002.0,24.0,24.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,7586.0,100.0,16280337776.0,100.0,140058274153.0,,,,,,,,,,
2015-07-11,MJ0351YNG9TLLA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,135.0,108.0,133.0,550.0,100.0,15.0,100.0,0.0,100.0,0.0,122.0,37.0,97.0,23396.0,100.0,0.0,,,100.0,15.0,,,,,,,,,,,,,,,,,,,,,100.0,182.0,100.0,182.0,200.0,30.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,JK11A8B9J3VNLF,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,115.0,628.0,100.0,16.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,39442.0,100.0,0.0,,,100.0,16.0,,,,,,,,,,,,,,,,,,,,,100.0,951.0,100.0,951.0,240.0,25.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,Z3014A95,ST4000DM000,4000787030016,0,118.0,178792824.0,,,91.0,0.0,100.0,11.0,100.0,0.0,89.0,923393788.0,,,87.0,11470.0,100.0,0.0,,,100.0,11.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,1.0,92.0,8.0,70.0,30.0,100.0,0.0,100.0,4.0,99.0,2681.0,30.0,30.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,182639189306559.0,100.0,18083188088.0,100.0,177304958892.0,,,,,,,,,,
2015-02-09,WD-WCC4N0846895,WDC WD30EFRX,3000592982016,0,200.0,0.0,,,182.0,5858.0,100.0,28.0,200.0,0.0,100.0,0.0,,,93.0,5693.0,100.0,0.0,100.0,0.0,100.0,28.0,,,,,,,,,,,,,,,,,,,,,200.0,19.0,200.0,54.0,125.0,25.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,6XW009WY,ST31500541AS,1500301910016,0,112.0,47775789.0,,,100.0,0.0,100.0,59.0,100.0,0.0,93.0,6286611848.0,,,45.0,48879.0,100.0,0.0,,,100.0,60.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,5.0,68.0,32.0,,,,,,,32.0,32.0,55.0,47775789.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,183579787181948.0,100.0,1459691619.0,100.0,511864726.0,,,,,,,,,,
2015-08-22,JK11A4YAKBUXYW,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,114.0,636.0,100.0,24.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,42723.0,100.0,0.0,,,100.0,24.0,,,,,,,,,,,,,,,,,,,,,100.0,779.0,100.0,779.0,150.0,40.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-06,Z300CLM1,ST4000DM000,4000787030016,0,119.0,231470288.0,,,92.0,0.0,100.0,9.0,100.0,0.0,79.0,88510322.0,,,85.0,13789.0,100.0,0.0,,,100.0,9.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,3.0,97.0,6205.0,20.0,20.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,13761.0,100.0,22152480820.0,100.0,110095787860.0,,,,,,,,,,
2015-05-13,JK1101B9GDWLWF,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,113.0,636.0,100.0,48.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,39966.0,100.0,0.0,,,100.0,48.0,,,,,,,,,,,,,,,,,,,,,100.0,972.0,100.0,972.0,146.0,41.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-11-24,PL1321LAGAVYVH,Hitachi HDS5C4040ALE630,4000787030016,0,100.0,0.0,133.0,106.0,135.0,517.0,100.0,20.0,100.0,0.0,100.0,0.0,113.0,42.0,97.0,22175.0,100.0,0.0,,,100.0,20.0,,,,,,,,,,,,,,,,,,,,,100.0,23.0,100.0,23.0,187.0,32.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-14,PL2331LAGULG6J,HGST HMS5C4040ALE640,4000787030016,0,100.0,0.0,135.0,96.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,9077.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,100.0,77.0,100.0,77.0,171.0,35.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,S30110GQ,ST4000DM000,4000787030016,0,114.0,78582648.0,,,99.0,0.0,100.0,1.0,100.0,0.0,78.0,80085097.0,,,99.0,1736.0,100.0,0.0,,,100.0,1.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,92.0,17573.0,28.0,28.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,1621.0,100.0,11016093624.0,100.0,8201042527.0,,,,,,,,,,
2015-12-05,S30113RZ,ST4000DM000,4000787030016,0,119.0,224068312.0,,,99.0,0.0,100.0,1.0,100.0,0.0,83.0,214593145.0,,,95.0,5240.0,100.0,0.0,,,100.0,1.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,3.0,100.0,0.0,76.0,24.0,100.0,0.0,100.0,0.0,95.0,11260.0,24.0,24.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,5200.0,100.0,16459881518.0,100.0,52750275427.0,,,,,,,,,,
2015-12-20,W300K1WK,ST4000DM000,4000787030016,0,118.0,182924944.0,,,93.0,0.0,100.0,7.0,100.0,0.0,86.0,436300977.0,,,79.0,18694.0,100.0,0.0,,,100.0,7.0,,,,,,,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,68.0,32.0,100.0,0.0,100.0,1.0,97.0,7150.0,32.0,32.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,166880954304704.0,100.0,24500686074.0,100.0,245661627902.0,,,,,,,,,,
2015-06-11,PL2331LAGMTS1J,HGST HMS5C4040BLE640,4000787030016,0,100.0,0.0,134.0,103.0,100.0,435.0,100.0,9.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,8766.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,,,,,,,100.0,227.0,100.0,227.0,250.0,24.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
