date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2015-07-27,2EG3P8ZP,HGST HUH728080ALE600,8001563222016,0,100.0,0.0,133.0,108.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,0.0,128.0,18.0,100.0,4136.0,100.0,0.0,,,100.0,4.0,,,,,100.0,100.0,,,,,,,,,,,,,,,100.0,298.0,100.0,298.0,214.0,28.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-02,MJ0351YNGA3XGA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,136.0,100.0,124.0,564.0,100.0,15.0,100.0,0.0,100.0,0.0,122.0,37.0,97.0,23505.0,100.0,0.0,,,100.0,15.0,,,,,,,,,,,,,,,,,,,,,100.0,164.0,100.0,164.0,222.0,27.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,JK11A8B9J30TPF,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,131.0,625.0,100.0,12.0,100.0,0.0,100.0,0.0,100.0,0.0,96.0,34525.0,100.0,0.0,,,100.0,12.0,,,,,,,,,,,,,,,,,,,,,100.0,956.0,100.0,956.0,222.0,27.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,Z304HKKB,ST4000DM000,4000787030016,0,114.0,69929808.0,,,96.0,0.0,100.0,4.0,100.0,0.0,65.0,3623587.0,,,100.0,817.0,100.0,0.0,,,100.0,3.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,92.0,17295.0,27.0,27.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,472.0,100.0,1020190312.0,100.0,266859077.0,,,,,,,,,,
2015-09-28,Z252A59AS,TOSHIBA DT01ACA300,3000592982016,0,100.0,0.0,139.0,71.0,135.0,424.0,100.0,42.0,100.0,0.0,100.0,0.0,124.0,33.0,97.0,22351.0,100.0,0.0,,,100.0,40.0,,,,,,,,,,,,,,,,,,,,,100.0,46.0,100.0,46.0,250.0,24.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-04,JK11A8B9GNL2KF,Hitachi HDS722020ALA330,2000398934016,0,100.0,0.0,100.0,0.0,128.0,640.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,95.0,37243.0,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,100.0,1031.0,100.0,1031.0,250.0,24.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-15,MJ0351YNG9ST6A,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,135.0,108.0,140.0,522.0,100.0,23.0,100.0,0.0,100.0,0.0,122.0,37.0,97.0,26802.0,100.0,0.0,,,100.0,23.0,,,,,,,,,,,,,,,,,,,,,100.0,273.0,100.0,273.0,214.0,28.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,MJ0351YNG9U1WA,Hitachi HDS5C3030ALA630,3000592982016,0,100.0,0.0,135.0,107.0,127.0,567.0,100.0,25.0,100.0,0.0,100.0,0.0,122.0,37.0,97.0,21932.0,100.0,0.0,,,100.0,25.0,,,,,,,,,,,,,,,,,,,,,100.0,249.0,100.0,249.0,250.0,24.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,3550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-29,6XW00ZQF,ST31500541AS,1500301910016,0,108.0,16425322.0,,,100.0,0.0,100.0,75.0,100.0,0.0,93.0,6225418345.0,,,43.0,49935.0,100.0,0.0,,,100.0,74.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,92.0,8.0,71.0,29.0,,,,,,,29.0,29.0,51.0,16425322.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,122724395566039.0,100.0,1292715501.0,100.0,3289119692.0,,,,,,,,,,
2015-07-19,Z4D05W38,ST6000DX000,6001175126016,0,119.0,210564308.0,,,89.0,0.0,100.0,8.0,100.0,0.0,83.0,207375167.0,,,97.0,2647.0,100.0,0.0,,,100.0,7.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,80.0,20.0,100.0,1889.0,100.0,0.0,99.0,2177.0,20.0,20.0,68.0,210564308.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,69767448758746.0,100.0,12699074408.0,100.0,8620078654.0,,,,,,,,,,
