capacity_bytes,date,failure,model,serial_number,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_1_normalized,smart_1_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_22_normalized,smart_22_raw,smart_235_normalized,smart_235_raw,smart_23_normalized,smart_23_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_24_normalized,smart_24_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw
8001563222016,2018-09-19,1,ST8000NM0055,ZA12XE7R,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,58.0,42.0,97.0,6471.0,100.0,37.0,99.0,3974.0,42.0,42.0,83.0,179556744.0,,,100.0,0.0,100.0,0.0,200.0,0.0,83.0,179556744.0,,,,,,,,,,,,,,,,,,,,,,,100.0,9255.0,100.0,33120201904.0,100.0,57946608526.0,,,,,,,,,,,,,,,99.0,0.0,100.0,1.0,100.0,0.0,94.0,2724148619.0,,,90.0,9268.0
12000138625024,2018-09-19,1,ST12000NM0007,ZCH0AL01,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,68.0,32.0,,,100.0,38.0,100.0,364.0,32.0,32.0,83.0,223410160.0,,,100.0,264.0,100.0,264.0,200.0,0.0,83.0,223410160.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,5964.0,100.0,42142069304.0,100.0,59399750056.0,,,,,,,,,,,,,,,94.0,0.0,100.0,5.0,100.0,0.0,89.0,827106437.0,,,94.0,6024.0
3000592982016,2018-07-20,1,WDC WD30EFRX,WD-WMC4N1062444,100.0,0.0,100.0,0.0,100.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,4.0,125.0,227369.0,132.0,18.0,,,200.0,0.0,200.0,3.0,100.0,0.0,200.0,12.0,200.0,63.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,6166.0,100.0,41.0,200.0,0.0,100.0,0.0,,,45.0,40223.0
12000138625024,2018-07-08,1,ST12000NM0007,ZCH0BCCV,100.0,0.0,,,100.0,2.0,,,,,,,,,,,,,,,,,99.0,1.0,100.0,0.0,,,75.0,25.0,,,100.0,23.0,100.0,241.0,25.0,25.0,83.0,194177064.0,,,100.0,0.0,100.0,0.0,200.0,0.0,83.0,194177064.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,4254.0,100.0,36087357344.0,100.0,44673287326.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,3168.0,88.0,603784722.0,,,96.0,4293.0
4000787030016,2018-07-08,1,ST4000DM000,Z302SY0A,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,98.0,2.0,100.0,0.0,82.0,18.0,100.0,0.0,100.0,0.0,64.0,36.0,100.0,0.0,100.0,0.0,93.0,14512.0,36.0,36.0,,,,,100.0,24.0,100.0,24.0,200.0,0.0,107.0,12723240.0,,,,,,,,,,,,,,,,,,,,,,,100.0,24582.0,100.0,49206614288.0,100.0,82896387675.0,,,,,,,,,,,,,,,92.0,0.0,100.0,11.0,100.0,0.0,84.0,275405236.0,,,72.0,24776.0
4000787030016,2018-07-08,1,ST4000DM000,Z305BG10,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,0.0,100.0,0.0,99.0,3370.0,27.0,27.0,,,,,100.0,40.0,100.0,40.0,200.0,0.0,120.0,238665464.0,,,,,,,,,,,,,,,,,,,,,,,100.0,18904.0,100.0,31180822608.0,100.0,82271353296.0,,,,,,,,,,,,,,,91.0,0.0,100.0,10.0,100.0,0.0,87.0,628066013.0,,,79.0,18920.0
4000787030016,2018-07-08,1,ST4000DM000,Z307G464,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,100.0,136.0,26.0,26.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,117.0,123980328.0,,,,,,,,,,,,,,,,,,,,,,,100.0,10543.0,100.0,15933670408.0,100.0,96482402688.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,0.0,84.0,236604540.0,,,88.0,10547.0
4000787030016,2018-09-25,1,ST4000DM000,Z303XY6E,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,93.0,14579.0,20.0,20.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,114.0,66693816.0,,,,,,,,,,,,,,,,,,,,,,,100.0,25145.0,100.0,45205773120.0,100.0,98772077945.0,,,,,,,,,,,,,,,91.0,0.0,100.0,10.0,100.0,0.0,82.0,176815961.0,,,72.0,25276.0
8001563222016,2018-09-25,1,ST8000NM0055,ZA171TRJ,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,100.0,0.0,86.0,14.0,100.0,0.0,100.0,0.0,57.0,43.0,96.0,8982.0,100.0,20.0,94.0,13226.0,43.0,43.0,84.0,234733952.0,,,100.0,8.0,100.0,8.0,200.0,0.0,63.0,234733952.0,,,,,,,,,,,,,,,,,,,,,,,100.0,12289.0,100.0,43380052040.0,100.0,93513305678.0,,,,,,,,,,,,,,,89.0,0.0,100.0,13.0,100.0,2864.0,95.0,2923565019.0,,,86.0,12317.0
500107862016,2018-09-25,1,TOSHIBA MQ01ABF050,96ICTBQ9T,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,100.0,0.0,99.0,18476.0,100.0,38.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,100.0,0.0,64.0,14585.0,100.0,0.0,100.0,0.0,,,100.0,252.0,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,1292.0,100.0,11.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,14622.0
