date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2/4/18,S2ZYJ9GGB02016,ST500LM012 HN,5.00108E+11,1,100,16,252,0,94,1826,100,17,252,0,252,0,252,0,100,16532,252,0,100,760,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,100,1,100,1,,,64,32,100,0,252,0,252,0,252,0,200,0,100,226798,,,,,,,100,760,,,94,60923,,,,,,,,,,,,,,,,,,,,
2/4/18,ZA16H0TW,ST8000NM0055,8.00156E+12,1,83,195252088,,,96,0,100,3,100,0,88,702807176,,,96,3985,100,0,,,100,3,,,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,73,27,98,5371,100,8,100,1423,27,27,83,195252088,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,3973,100,26998140496,100,34546914439,,,,,,,,,,
2/4/18,S300Z5GT,ST4000DM000,4.00079E+12,1,109,23649192,,,98,0,100,2,100,0,77,51021232,,,76,21510,100,0,,,100,2,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,73,27,100,0,100,0,91,19324,27,27,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,21397,100,46191247976,100,66849467487,,,,,,,,,,
2/4/18,WD-WMAYW2228410,WDC WD1600AAJS,1.60042E+11,1,200,341,,,142,3866,100,56,200,0,200,0,,,44,41255,100,0,100,0,100,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,18,200,37,115,28,,,200,0,200,0,200,0,200,0,200,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/18,Z3027KMQ,ST4000DM000,4.00079E+12,1,118,183318448,,,91,0,100,10,100,0,78,66213335,,,70,26719,100,0,,,100,10,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,76,24,100,0,100,0,95,11992,24,24,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,26650,100,23951375777,100,1.92849E+11,,,,,,,,,,
2/10/18,Z4D07FJV,ST6000DX000,6.00118E+12,1,113,55352384,,,94,0,100,5,100,0,91,1452166317,,,72,25133,100,0,,,100,3,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,94,6,81,19,91,18078,100,0,19,163375,19,19,65,55352384,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,2.5683E+14,100,43848222112,100,1.05855E+11,,,,,,,,,,
2/10/18,PL2331LAHDKBTJ,HGST HMS5C4040BLE640,4.00079E+12,1,100,0,135,99,100,408,100,6,100,0,100,0,113,42,99,7734,100,0,,,100,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,44,100,44,206,29,,,100,0,100,0,100,0,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/18,Z3016L7D,ST4000DM000,4.00079E+12,1,117,155096280,,,91,0,100,25,67,43608,90,950877369,,,61,34688,100,0,,,100,25,,,,,,,,,,,,,,,100,0,100,0,99,1,100,1,94,6,76,24,100,0,100,2,72,56708,24,24,,,,,99,320,99,320,200,0,,,,,,,,,,,,,,,,,,,100,34457,100,28028380014,100,2.35922E+11,,,,,,,,,,
2/10/18,Z300ZRRK,ST4000DM000,4.00079E+12,1,111,35771384,,,91,0,100,12,100,0,77,57154343,,,60,35188,100,0,,,100,12,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,76,24,81,19,100,0,100,2,85,31417,19,19,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,35064,100,27872593524,100,1.57194E+11,,,,,,,,,,
2/10/18,Z300NQQ7,ST4000DM000,4.00079E+12,1,117,119646648,,,92,0,100,19,100,0,84,273937557,,,57,37748,100,0,,,100,19,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,78,22,100,0,100,8,77,46252,22,22,,,,,100,0,100,0,200,3,,,,,,,,,,,,,,,,,,,100,37484,100,31501464286,100,3.11422E+11,,,,,,,,,,
2/10/18,S2ZYJ9CFC01447,ST500LM012 HN,5.00108E+11,1,100,2,252,0,94,2005,100,14,252,0,252,0,252,0,100,21941,252,0,99,1139,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3,100,1,,,64,23,100,0,252,0,252,0,252,0,200,0,100,8403,,,,,,,99,1139,,,88,122603,,,,,,,,,,,,,,,,,,,,
2/10/18,ZCH06MR5,ST12000NM0007,1.20001E+13,1,82,162357128,,,99,0,100,1,100,0,86,432007493,,,97,2859,100,0,,,100,1,,,,,,,,,,,,,,,,,,,100,0,100,0,,,71,29,,,100,10,100,447,29,29,82,162357128,,,100,0,100,0,200,0,3,0,,,,,,,,,,,,,,,,,100,2684,100,30063142992,100,42853174284,,,,,,,,,,
2/11/18,W3006C46,ST4000DM000,4.00079E+12,1,115,87296800,,,91,0,100,13,100,0,77,51979660,,,56,39403,100,0,,,100,12,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,88,12,77,23,100,0,100,2,77,46573,23,23,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,39072,100,36199674732,100,1.78523E+11,,,,,,,,,,
2/5/18,S301LN15,ST4000DM000,4.00079E+12,1,115,96015616,,,92,0,100,9,100,0,89,896788514,,,78,19918,100,0,,,100,9,,,,,,,,,,,,,,,100,0,100,0,100,0,100,0,100,0,74,26,100,0,100,0,96,9874,26,26,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,100,19851,100,42659289920,100,66840677244,,,,,,,,,,
