date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2018-01-15,VKGKLM8X,HGST HUH728080ALE600,8001563222016,0,100.0,0.0,132.0,112.0,100.0,0.0,100.0,2.0,100.0,0.0,100.0,0.0,128.0,18.0,100.0,1422.0,100.0,0.0,,,100.0,2.0,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,95.0,6066.0,95.0,6066.0,206.0,29.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,ZA152N8Z,ST8000NM0055,8001563222016,0,74.0,22911272.0,,,94.0,0.0,100.0,3.0,100.0,0.0,90.0,1013813737.0,,,94.0,5689.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,98.0,4765.0,100.0,0.0,99.0,3255.0,25.0,25.0,1.0,22911272.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,5576.0,100.0,30982452640.0,100.0,44971109282.0,,,,,,,,,,
2018-02-19,Z3026VGZ,ST4000DM000,4000787030016,0,108.0,17773080.0,,,92.0,0.0,100.0,13.0,100.0,0.0,79.0,86742157.0,,,70.0,27080.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,72.0,28.0,100.0,0.0,100.0,0.0,91.0,19473.0,28.0,28.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,26948.0,100.0,25136305603.0,100.0,211207852583.0,,,,,,,,,,
2018-01-03,PL1331LAHD5S7H,HGST HMS5C4040BLE640,4000787030016,0,100.0,0.0,134.0,100.0,100.0,436.0,100.0,5.0,100.0,0.0,100.0,0.0,113.0,42.0,98.0,14599.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,62.0,100.0,62.0,222.0,27.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,S301NGZM,ST4000DM000,4000787030016,0,118.0,170483016.0,,,92.0,0.0,100.0,9.0,100.0,0.0,89.0,902868078.0,,,78.0,19863.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,96.0,9320.0,21.0,21.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,19782.0,100.0,43467821288.0,100.0,66391205246.0,,,,,,,,,,
2018-02-19,ZA125EK5,ST8000DM002,8001563222016,0,82.0,177211664.0,,,94.0,0.0,100.0,3.0,100.0,0.0,96.0,3558750746.0,,,85.0,13854.0,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,34.0,132157.0,100.0,1.0,96.0,9385.0,31.0,31.0,1.0,177211664.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,13803.0,100.0,48625775552.0,100.0,81082892324.0,,,,,,,,,,
2018-02-01,ZA10C2GC,ST8000DM002,8001563222016,0,82.0,174229728.0,,,91.0,0.0,100.0,5.0,100.0,0.0,90.0,974795927.0,,,89.0,9994.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,65.0,35.0,100.0,0.0,100.0,23.0,100.0,170.0,35.0,35.0,1.0,174229728.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,9950.0,100.0,54107920424.0,100.0,54760911144.0,,,,,,,,,,
2018-02-12,ZA18A89S,ST8000NM0055,8001563222016,0,78.0,62481656.0,,,94.0,0.0,100.0,5.0,100.0,0.0,90.0,1080649157.0,,,95.0,5191.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,76.0,24.0,97.0,7947.0,100.0,7.0,99.0,3427.0,24.0,24.0,78.0,62481656.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,5170.0,100.0,26838518408.0,100.0,41355516744.0,,,,,,,,,,
2018-01-03,PL1331LAGBWUNH,HGST HMS5C4040ALE640,4000787030016,0,100.0,0.0,133.0,104.0,100.0,352.0,100.0,7.0,100.0,0.0,100.0,0.0,113.0,42.0,99.0,8365.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,10.0,100.0,10.0,230.0,26.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,Z3014A9K,ST4000DM000,4000787030016,0,118.0,186984864.0,,,91.0,0.0,100.0,17.0,100.0,0.0,79.0,84386474.0,,,59.0,35923.0,100.0,0.0,,,100.0,17.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,96.0,4.0,79.0,21.0,100.0,0.0,100.0,1.0,83.0,35030.0,21.0,21.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,35786.0,100.0,28176576322.0,100.0,280232257844.0,,,,,,,,,,
2018-02-22,5641SFS4S,TOSHIBA MQ01ABF050,500107862016,0,100.0,0.0,100.0,0.0,100.0,1313.0,100.0,5.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,13327.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,5.0,100.0,0.0,100.0,4527.0,100.0,37.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,100.0,0.0,67.0,13308.0,100.0,0.0,100.0,0.0,,,100.0,250.0,,,100.0,0.0,,,,,,,,,,,,,,
2018-02-21,S30115BY,ST4000DM000,4000787030016,0,117.0,155704888.0,,,95.0,0.0,100.0,5.0,100.0,0.0,81.0,156633329.0,,,72.0,24853.0,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,86.0,29179.0,20.0,20.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,24724.0,100.0,52554250336.0,100.0,68279928879.0,,,,,,,,,,
2018-03-24,PL2331LAHDT0LJ,HGST HMS5C4040BLE640,4000787030016,0,100.0,0.0,134.0,100.0,100.0,426.0,100.0,6.0,100.0,0.0,100.0,0.0,107.0,45.0,98.0,16832.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,290.0,100.0,290.0,222.0,27.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,Z305FH75,ST4000DM000,4000787030016,0,114.0,77009552.0,,,92.0,0.0,100.0,10.0,100.0,0.0,88.0,679664829.0,,,82.0,16364.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,73.0,54784.0,25.0,25.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,100.0,16010.0,100.0,33415288720.0,100.0,55814343103.0,,,,,,,,,,
