date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2016-10-27,ZA11P9S5,ST8000DM002,8001563222016,1,83.0,211658504.0,,,98.0,0.0,100.0,1.0,100.0,0.0,85.0,318017732.0,,,100.0,660.0,100.0,0.0,,,100.0,1.0,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,100.0,227.0,100.0,1.0,100.0,371.0,27.0,27.0,9.0,211658504.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,633.0,100.0,1037571832.0,100.0,412909038.0,,,,,,,,,,
2016-10-27,WD-WX41D948Y4ZL,WDC WD60EFRX,6001175126016,1,200.0,0.0,,,197.0,9125.0,100.0,7.0,200.0,0.0,100.0,0.0,,,79.0,15588.0,100.0,0.0,100.0,0.0,100.0,7.0,,,,,,,,,,,,,,,,,,,,,200.0,0.0,200.0,746.0,123.0,29.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-27,Z303YMJH,ST4000DM000,4000787030016,1,109.0,24636016.0,,,91.0,0.0,100.0,9.0,100.0,0.0,87.0,528050974.0,,,89.0,9919.0,100.0,0.0,,,100.0,9.0,,,,,,,100.0,0.0,100.0,0.0,98.0,2.0,100.0,3.0,100.0,0.0,83.0,17.0,100.0,0.0,100.0,0.0,95.0,11215.0,17.0,17.0,,,,,100.0,16.0,100.0,16.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,9878.0,100.0,17744162061.0,100.0,130363614032.0,,,,,,,,,,
2016-10-27,S300YC4L,ST4000DM000,4000787030016,1,113.0,58152896.0,,,97.0,0.0,100.0,3.0,100.0,0.0,86.0,432770951.0,,,88.0,11211.0,100.0,0.0,,,100.0,3.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,66.0,34.0,100.0,0.0,100.0,0.0,76.0,48103.0,34.0,34.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,10864.0,100.0,34585476944.0,100.0,9653344787.0,,,,,,,,,,
2016-10-27,PL2331LAH9AWBJ,HGST HMS5C4040BLE640,4000787030016,1,76.0,4130233.0,133.0,104.0,100.0,0.0,100.0,4.0,100.0,0.0,100.0,0.0,107.0,45.0,100.0,3247.0,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,100.0,4.0,100.0,4.0,250.0,24.0,,,100.0,0.0,100.0,32.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-27,Z3025KLK,ST4000DM000,4000787030016,1,114.0,76072768.0,,,92.0,0.0,100.0,11.0,100.0,0.0,88.0,748420873.0,,,80.0,17623.0,100.0,0.0,,,100.0,11.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,82.0,18.0,100.0,0.0,100.0,0.0,91.0,18725.0,18.0,18.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,17500.0,100.0,21106512418.0,100.0,152799076628.0,,,,,,,,,,
2016-10-27,Z305C1JR,ST4000DM000,4000787030016,1,116.0,109425904.0,,,94.0,0.0,100.0,6.0,100.0,0.0,84.0,261688043.0,,,93.0,6268.0,100.0,0.0,,,100.0,6.0,,,,,,,99.0,1.0,100.0,0.0,93.0,7.0,100.0,0.0,100.0,0.0,74.0,26.0,100.0,0.0,100.0,0.0,96.0,9261.0,26.0,26.0,,,,,100.0,40.0,100.0,40.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,6187.0,100.0,24060073928.0,100.0,10626039964.0,,,,,,,,,,
2016-10-27,Z300H20F,ST4000DM000,4000787030016,1,117.0,137674568.0,,,92.0,0.0,100.0,14.0,100.0,0.0,88.0,764610412.0,,,68.0,28077.0,100.0,0.0,,,100.0,14.0,,,,,,,99.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,94.0,6.0,73.0,27.0,100.0,0.0,100.0,6.0,96.0,8464.0,27.0,27.0,,,,,100.0,32.0,100.0,32.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,28039.0,100.0,35019909954.0,100.0,146577061604.0,,,,,,,,,,
2016-10-27,ZA10NF9J,ST8000DM002,8001563222016,1,76.0,42934544.0,,,95.0,0.0,100.0,3.0,100.0,0.0,85.0,352255307.0,,,96.0,3735.0,100.0,0.0,,,100.0,3.0,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,11.0,100.0,251.0,23.0,23.0,1.0,42934544.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,181866095185557.0,100.0,22899391216.0,100.0,6060819610.0,,,,,,,,,,
2016-12-22,W300J813,ST4000DM000,4000787030016,1,111.0,41042144.0,,,91.0,0.0,100.0,23.0,100.0,0.0,88.0,781709189.0,,,68.0,28032.0,100.0,0.0,,,100.0,22.0,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,86.0,14.0,77.0,23.0,100.0,0.0,100.0,5.0,87.0,26628.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,27925.0,100.0,26711844398.0,100.0,250075553627.0,,,,,,,,,,
