capacity_bytes,date,failure,gray_n,model,serial_number,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_1_normalized,smart_1_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_22_normalized,smart_22_raw,smart_235_normalized,smart_235_raw,smart_23_normalized,smart_23_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_24_normalized,smart_24_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw
12000138625024,2018-09-19,0,1,ST12000NM0007,ZCH0C8N6,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,98.0,2.0,100.0,17180131332.0,,,69.0,31.0,,,100.0,89.0,100.0,333.0,31.0,31.0,79.0,80771000.0,,,100.0,24.0,100.0,24.0,200.0,0.0,79.0,80771000.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,5951.0,100.0,30414834584.0,100.0,43884781096.0,,,,,,,,,,,,,,,98.0,0.0,100.0,2.0,100.0,8.0,87.0,4838709573.0,,,94.0,6035.0
12000138625024,2018-09-19,0,1,ST12000NM0007,ZCH07AV7,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,62.0,38.0,,,100.0,121.0,100.0,597.0,38.0,38.0,83.0,187226624.0,,,100.0,0.0,100.0,0.0,200.0,0.0,83.0,187226624.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,7413.0,100.0,40575803544.0,100.0,57756030112.0,,,,,,,,,,,,,,,94.0,0.0,100.0,5.0,100.0,0.0,89.0,789835606.0,,,92.0,7548.0
4000787030016,2018-09-19,0,1,ST4000DM000,Z3025M6M,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.0,2.0,77.0,23.0,100.0,0.0,100.0,1.0,87.0,27550.0,23.0,23.0,,,,,100.0,24.0,100.0,24.0,200.0,0.0,118.0,195112528.0,,,,,,,,,,,,,,,,,,,,,,,100.0,34257.0,100.0,25129230490.0,100.0,185994982554.0,,,,,,,,,,,,,,,92.0,0.0,100.0,13.0,93.0,8408.0,67.0,227870203248.0,,,61.0,34435.0
6001175126016,2018-09-19,0,1,WDC WD60EFRX,WD-WX21D947N1C3,100.0,0.0,100.0,0.0,100.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,0.0,200.0,1008.0,126.0,26.0,,,200.0,0.0,200.0,9.0,100.0,0.0,200.0,10.0,199.0,78.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,8966.0,100.0,15.0,200.0,0.0,100.0,0.0,,,55.0,33158.0
8001563222016,2018-07-20,0,1,ST8000DM002,ZA13Z44D,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,97.0,6350.0,100.0,2.0,93.0,14187.0,27.0,27.0,1.0,30107104.0,,,100.0,0.0,100.0,0.0,200.0,0.0,75.0,30107104.0,,,,,,,,,,,,,,,,,,,,,,,100.0,14329.0,100.0,48794930080.0,100.0,81580042060.0,,,,,,,,,,,,,,,94.0,0.0,100.0,3.0,100.0,0.0,95.0,3373110247.0,,,84.0,14367.0
14000519643136,2018-07-20,0,1,TOSHIBA MG07ACA14TA,18K0A02ZF97G,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,1.0,100.0,0.0,100.0,114.0,100.0,22.0,,,100.0,29.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,100.0,1966081.0,98.0,961.0,100.0,0.0,100.0,0.0,,,100.0,587.0,,,,,100.0,0.0,100.0,0.0,,,,,100.0,0.0,,,,,,,,,,,100.0,0.0,100.0,7874.0,100.0,3.0,100.0,43.0,100.0,0.0,100.0,0.0,98.0,1038.0
8001563222016,2018-09-25,0,1,ST8000NM0055,ZA181AA1,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,60.0,40.0,97.0,6620.0,100.0,11.0,95.0,10614.0,40.0,40.0,82.0,150872872.0,,,100.0,0.0,100.0,0.0,200.0,0.0,82.0,150872872.0,,,,,,,,,,,,,,,,,,,,,,,100.0,9826.0,100.0,37588188152.0,100.0,71275947572.0,,,,,,,,,,,,,,,95.0,0.0,100.0,4.0,100.0,1.0,94.0,2263975811.0,,,89.0,9866.0
500107862016,2018-09-25,0,1,TOSHIBA MQ01ABF050,564ESIYZS,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,100.0,0.0,100.0,2004.0,100.0,30.0,,,100.0,0.0,100.0,120.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,100.0,0.0,51.0,19696.0,100.0,0.0,100.0,0.0,,,100.0,254.0,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,100.0,0.0,100.0,1371.0,100.0,4.0,100.0,0.0,100.0,0.0,100.0,0.0,51.0,19702.0
4000787030016,2018-09-25,0,1,ST4000DM000,Z305GXQD,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,100.0,0.0,100.0,0.0,98.0,4068.0,33.0,33.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,112.0,44140944.0,,,,,,,,,,,,,,,,,,,,,,,100.0,22801.0,100.0,41418043200.0,100.0,123058163664.0,,,,,,,,,,,,,,,92.0,0.0,100.0,9.0,100.0,0.0,79.0,94951047.0,,,74.0,22828.0
12000138625024,2018-09-25,0,1,ST12000NM0007,ZCH0955C,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,,,86.0,14.0,100.0,0.0,,,63.0,37.0,,,100.0,20.0,100.0,222.0,37.0,37.0,78.0,57454496.0,,,100.0,0.0,100.0,0.0,200.0,0.0,78.0,57454496.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,100.0,3634.0,100.0,33764213624.0,100.0,41488635778.0,,,,,,,,,,,,,,,99.0,0.0,100.0,1.0,96.0,16200.0,87.0,509213330.0,,,96.0,3677.0
