capacity_bytes,date,failure,gray_n,model,serial_number,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_177_normalized,smart_177_raw,smart_179_normalized,smart_179_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_1_normalized,smart_1_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_22_normalized,smart_22_raw,smart_235_normalized,smart_235_raw,smart_23_normalized,smart_23_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_24_normalized,smart_24_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw
8001563222016,2018-09-19,0,-1,ST8000NM0055,ZA16XG3J,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,64.0,36.0,98.0,4119.0,100.0,12.0,95.0,11853.0,36.0,36.0,83.0,183973968.0,,,100.0,0.0,100.0,0.0,200.0,0.0,83.0,183973968.0,,,,,,,,,,,,,,,,,,,,,,,100.0,12178.0,100.0,43310690632.0,100.0,81925009286.0,,,,,,,,,,,,,,,91.0,0.0,100.0,7.0,100.0,0.0,95.0,2855671929.0,,,87.0,12200.0
8001563222016,2018-09-19,0,-1,ST8000NM0055,ZA14ECN3,100.0,0.0,,,100.0,16.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,73.0,27.0,97.0,6270.0,100.0,9.0,94.0,12042.0,27.0,27.0,80.0,100109888.0,,,100.0,0.0,100.0,0.0,200.0,0.0,80.0,100109888.0,,,,,,,,,,,,,,,,,,,,,,,100.0,13115.0,100.0,45096136952.0,100.0,95108358622.0,,,,,,,,,,,,,,,89.0,0.0,100.0,16.0,100.0,0.0,95.0,2860727235.0,,,86.0,13132.0
4000787030016,2018-09-19,0,-1,HGST HMS5C4040BLE640,PL1331LAHGDEYH,100.0,0.0,,,100.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,35.0,100.0,35.0,214.0,28.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,103.0,122.0,570.0,100.0,23.0,100.0,0.0,100.0,0.0,111.0,43.0,99.0,10912.0
4000787030016,2018-09-19,0,-1,ST4000DM000,Z304KCLY,100.0,0.0,,,100.0,5.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,80.0,20.0,100.0,0.0,100.0,0.0,94.0,12991.0,20.0,20.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,112.0,44340264.0,,,,,,,,,,,,,,,,,,,,,,,100.0,25004.0,100.0,44627487520.0,100.0,108473076651.0,,,,,,,,,,,,,,,95.0,0.0,100.0,5.0,100.0,0.0,83.0,221348065.0,,,72.0,25133.0
4000787030016,2018-09-19,0,-1,ST4000DM000,S301MQQD,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,0.0,93.0,14117.0,21.0,21.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,114.0,61167024.0,,,,,,,,,,,,,,,,,,,,,,,100.0,25036.0,100.0,44790154192.0,100.0,102619440247.0,,,,,,,,,,,,,,,92.0,0.0,100.0,10.0,100.0,0.0,82.0,176041213.0,,,72.0,25183.0
8001563222016,2018-09-19,0,-1,ST8000NM0055,ZA171TBQ,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,67.0,33.0,98.0,4688.0,100.0,20.0,96.0,9029.0,33.0,33.0,83.0,199602088.0,,,100.0,0.0,100.0,0.0,200.0,0.0,83.0,199602088.0,,,,,,,,,,,,,,,,,,,,,,,100.0,12216.0,100.0,42411480136.0,100.0,80629940436.0,,,,,,,,,,,,,,,92.0,0.0,100.0,6.0,100.0,0.0,94.0,2768730143.0,,,87.0,12241.0
4000787030016,2018-09-19,0,-1,ST4000DM000,Z304L95L,100.0,0.0,,,100.0,3.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,78.0,22.0,100.0,0.0,100.0,0.0,95.0,11561.0,22.0,22.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,111.0,39243656.0,,,,,,,,,,,,,,,,,,,,,,,100.0,24657.0,100.0,43234284576.0,100.0,99285201232.0,,,,,,,,,,,,,,,97.0,0.0,100.0,3.0,100.0,0.0,81.0,119009726.0,,,72.0,24825.0
8001563222016,2018-09-19,0,-1,ST8000NM0055,ZA138FW9,100.0,0.0,,,100.0,1.0,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,65.0,35.0,70.0,61203.0,100.0,0.0,94.0,13114.0,35.0,35.0,100.0,893312.0,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,893312.0,,,,,,,,,,,,,,,,,,,,,,,100.0,11369.0,100.0,41553788488.0,100.0,78788134916.0,,,,,,,,,,,,,,,98.0,0.0,100.0,1.0,100.0,0.0,94.0,2490491674.0,,,88.0,11382.0
6001175126016,2018-09-19,0,-1,WDC WD60EFRX,WD-WX11DC4FKTPC,100.0,0.0,100.0,0.0,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,1.0,200.0,686.0,125.0,27.0,,,200.0,0.0,200.0,0.0,100.0,0.0,200.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,9316.0,100.0,11.0,200.0,0.0,100.0,0.0,,,68.0,23837.0
4000787030016,2018-09-19,0,-1,ST4000DM000,S300WDFX,100.0,0.0,,,100.0,4.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,0.0,81.0,38253.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,117.0,149057168.0,,,,,,,,,,,,,,,,,,,,,,,100.0,27654.0,100.0,52706435968.0,100.0,109784159408.0,,,,,,,,,,,,,,,96.0,0.0,100.0,6.0,100.0,0.0,87.0,478169440.0,,,69.0,27845.0
