date,1/12/15
serial_number,5VY4ZRMA
model,ST1500DL003
capacity_bytes,160041885696.0
failure,0
smart_1_normalized,72.0
smart_1_raw,0.0
smart_2_normalized,252.0
smart_2_raw,0.0
smart_3_normalized,87.0
smart_3_raw,0.0
smart_4_normalized,99.0
smart_4_raw,1.0
smart_5_normalized,1.0
smart_5_raw,0.0
smart_7_normalized,41.0
smart_7_raw,0.0
smart_8_normalized,252.0
smart_8_raw,0.0
smart_9_normalized,40.0
smart_9_raw,23.0
smart_10_normalized,100.0
smart_10_raw,0.0
smart_11_normalized,100.0
smart_11_raw,0.0
smart_12_normalized,100.0
smart_12_raw,0.0
smart_13_normalized,
smart_13_raw,
smart_15_normalized,
smart_15_raw,
smart_22_normalized,
smart_22_raw,
smart_183_normalized,1.0
smart_183_raw,0.0
smart_184_normalized,82.0
smart_184_raw,0.0
smart_187_normalized,1.0
smart_187_raw,0.0
smart_188_normalized,99.0
smart_188_raw,0.0
smart_189_normalized,1.0
smart_189_raw,0.0
smart_190_normalized,58.0
smart_190_raw,15.0
smart_191_normalized,91.0
smart_191_raw,0.0
smart_192_normalized,100.0
smart_192_raw,0.0
smart_193_normalized,1.0
smart_193_raw,4.0
smart_194_normalized,15.0
smart_194_raw,15.0
smart_195_normalized,11.0
smart_195_raw,0.0
smart_196_normalized,252.0
smart_196_raw,0.0
smart_197_normalized,1.0
smart_197_raw,0.0
smart_198_normalized,1.0
smart_198_raw,0.0
smart_199_normalized,200.0
smart_199_raw,0.0
smart_200_normalized,100.0
smart_200_raw,12.0
smart_201_normalized,
smart_201_raw,
smart_220_normalized,
smart_220_raw,
smart_222_normalized,
smart_222_raw,
smart_223_normalized,100.0
smart_223_raw,0.0
smart_224_normalized,
smart_224_raw,
smart_225_normalized,66.0
smart_225_raw,8447.0
smart_226_normalized,
smart_226_raw,
smart_240_normalized,100.0
smart_240_raw,31.0
smart_241_normalized,100.0
smart_241_raw,439254.0
smart_242_normalized,100.0
smart_242_raw,1278245.0
smart_250_normalized,1.0
smart_250_raw,431333.0
smart_251_normalized,1.0
smart_251_raw,116713.0
smart_252_normalized,1.0
smart_252_raw,0.0
smart_254_normalized,100.0
smart_254_raw,0.0
smart_255_normalized,
smart_255_raw,
