date,1/12/15
serial_number,WD-WCAMD2252340
model,WDC WD10EACS
capacity_bytes,80026361856.0
failure,0
smart_1_normalized,100.0
smart_1_raw,0.0
smart_2_normalized,
smart_2_raw,
smart_3_normalized,95.0
smart_3_raw,0.0
smart_4_normalized,100.0
smart_4_raw,1.0
smart_5_normalized,140.0
smart_5_raw,0.0
smart_7_normalized,100.0
smart_7_raw,0.0
smart_8_normalized,
smart_8_raw,
smart_9_normalized,1.0
smart_9_raw,36.0
smart_10_normalized,100.0
smart_10_raw,0.0
smart_11_normalized,100.0
smart_11_raw,0.0
smart_12_normalized,100.0
smart_12_raw,1.0
smart_13_normalized,
smart_13_raw,
smart_15_normalized,
smart_15_raw,
smart_22_normalized,
smart_22_raw,
smart_183_normalized,
smart_183_raw,
smart_184_normalized,
smart_184_raw,
smart_187_normalized,
smart_187_raw,
smart_188_normalized,
smart_188_raw,
smart_189_normalized,
smart_189_raw,
smart_190_normalized,
smart_190_raw,
smart_191_normalized,76.0
smart_191_raw,0.0
smart_192_normalized,200.0
smart_192_raw,0.0
smart_193_normalized,1.0
smart_193_raw,0.0
smart_194_normalized,99.0
smart_194_raw,18.0
smart_195_normalized,
smart_195_raw,
smart_196_normalized,166.0
smart_196_raw,0.0
smart_197_normalized,200.0
smart_197_raw,0.0
smart_198_normalized,100.0
smart_198_raw,0.0
smart_199_normalized,200.0
smart_199_raw,0.0
smart_200_normalized,100.0
smart_200_raw,0.0
smart_201_normalized,
smart_201_raw,
smart_220_normalized,
smart_220_raw,
smart_222_normalized,
smart_222_raw,
smart_223_normalized,
smart_223_raw,
smart_224_normalized,
smart_224_raw,
smart_225_normalized,
smart_225_raw,
smart_226_normalized,
smart_226_raw,
smart_240_normalized,85.0
smart_240_raw,656.0
smart_241_normalized,
smart_241_raw,
smart_242_normalized,
smart_242_raw,
smart_250_normalized,
smart_250_raw,
smart_251_normalized,
smart_251_raw,
smart_252_normalized,
smart_252_raw,
smart_254_normalized,
smart_254_raw,
smart_255_normalized,
smart_255_raw,
